age,log_consumption,sd_log_consumption,log_liq_wealth,sd_log_liq_wealth,log_housing_wealth,sd_log_housing_wealth,log_income,sd_log_income,log_mortgage,sd_log_mortgage,WHtM,sd_WHtM,PHtM,sd_PHtM,housing,sd_housing,consumption,sd_consumption,liq_wealth,sd_liq_wealth,housing_wealth,sd_housing_wealth,income,sd_income,mortgage,sd_mortgage,log_housing_wealth_if_owner,sd_log_housing_wealth_if_owner,var_log_consumption,var_log_liq_wealth,var_log_housing_wealth,var_log_income,var_log_mortgage,var_WHtM,var_PHtM,var_housing,var_consumption,var_liq_wealth,var_housing_wealth,var_income,var_mortgage,var_log_housing_wealth_if_owner
32,9.7516003,.63555074,5.6223326,3.4886017,3.9934418,5.1409416,10.681444,1.0454421,3.9027002,5.3045626,.16477768,.37114161,.44463819,.49714237,.41586748,.49308589,19718.895,11597.951,10820.512,50280.359,20493.645,54260.996,57786.516,36878.371,50355.941,83000,9.6026783,3.1069763,.40392473,12.170341,26.429281,1.0929492,28.138384,.1377461,.24715054,.24313369,134512464,2528114432,2944255744,1360014208,6888999936,9.6533012
33,9.7647905,.70701969,5.6504226,3.4181254,4.4820652,5.2785511,10.699611,1.1425287,4.3739944,5.4070377,.19965577,.3999137,.41738382,.49333966,.46729776,.49914426,20233.039,12060.16,7548.6372,22989.498,23244.52,57051.684,58854.668,35774.988,58036.883,93020.57,9.5914545,3.2538784,.49987683,11.683581,27.863102,1.3053718,29.236057,.15993096,.24338402,.24914499,145447456,528517024,3254894592,1279849728,8652826624,10.587725
34,9.7395258,.65672749,5.758091,3.4992764,4.3434267,5.2920141,10.692581,1.2850586,4.0989676,5.3642159,.19185521,.39393809,.42443439,.49448064,.44615385,.49731722,19465.51,10650.029,10758.626,40121.004,24992.674,59883.93,59902.984,38681.215,51293.426,84025.695,9.7352667,3.2005825,.43129101,12.244935,28.005413,1.6513757,28.774811,.15518722,.2445111,.24732442,113423128,1609694976,3586085120,1496236416,7060317696,10.243729
35,9.7571402,.79111898,5.8197384,3.5607364,4.9038935,5.4019008,10.80373,1.0961838,4.7277074,5.546371,.21472393,.41081074,.40052587,.49021986,.51007891,.5001176,20180.168,11066.817,12439.844,60939.398,29590.932,66495.539,63827.844,38042.563,59999.891,88434.57,9.6139908,3.4489639,.62586921,12.678843,29.180532,1.2016189,30.762232,.16876547,.24031551,.2501176,122474448,3713610240,4421656576,1447236608,7820673024,11.895351
36,9.7875528,.68953705,5.9203191,3.4448612,4.9640822,5.4113841,10.723624,1.2413307,4.5797491,5.4754238,.19039302,.39278272,.39039302,.48805156,.49344978,.50017554,20423.43,10920.784,10542.375,30525.746,30535.129,68275.695,62640.922,40434.117,61008.969,96070.008,10.059954,2.8357992,.47546133,11.867068,29.283077,1.540902,29.980267,.15427826,.23819433,.25017557,119263528,931821184,4661570560,1634917888,9229446144,8.0417576
37,9.7967138,.82228082,5.8645144,3.4774735,5.1819139,5.442935,10.806808,1.1114218,4.8749504,5.5703259,.21793722,.41302976,.37757847,.48499891,.52286994,.49970081,21023.096,11286.687,13943.062,89742.234,32922.398,72381.328,65730.367,41698.277,65364.617,99564.945,9.9105215,3.1244924,.67614573,12.092822,29.625542,1.2352585,31.02853,.17059359,.23522395,.2497009,127389296,8053668864,5239056896,1738746368,9913178112,9.7624531
38,9.7787914,.77664435,5.8822594,3.5407748,5.2382603,5.4906363,10.721573,1.4207541,4.9216056,5.5768576,.19963866,.39990941,.39927733,.48997122,.52032518,.49981251,20837.49,12266.567,10726.099,26688.781,37928.512,81792.305,65302.469,42527.383,64057.184,94445.594,10.067282,3.0475578,.60317647,12.537086,30.147087,2.0185421,31.101341,.15992753,.2400718,.24981254,150468672,712291072,6689980928,1808578304,8919969792,9.2876091
39,9.8559771,.66397929,6.0171247,3.4880979,5.6186943,5.4715862,10.850777,1.0723413,5.2064652,5.6120348,.22920354,.42050654,.36637169,.48202604,.55752212,.49690011,21824.396,12380.7,13995.636,43942.645,36259.012,75340.43,67103.008,41668.816,67139.742,98111.367,10.077975,2.9537399,.4408685,12.166827,29.938255,1.1499159,31.494934,.17682575,.2323491,.24690972,153281744,1930956032,5676180480,1736290304,9625840640,8.7245789
40,9.8052931,.74554735,6.0843644,3.5641901,5.5986023,5.5739636,10.790393,1.2508572,5.1390734,5.5495734,.20107238,.40098125,.37801608,.48510846,.55138516,.49757493,21293.012,11992.181,21655.527,188625.73,49028.621,148742.25,68176.445,44560.23,67886.008,99807.563,10.153705,3.17208,.55584085,12.703451,31.069071,1.5646439,30.797766,.16078596,.23533022,.24758081,143812400,35579666432,22124257280,1985614080,9961549824,10.062092
41,9.8779182,.5883767,5.9810386,3.5797038,5.6706223,5.5294838,10.839009,1.2324321,5.1894145,5.600183,.23489362,.42411283,.36085105,.48045191,.55829787,.49680117,22339.348,13612.416,15922.646,78014.32,44372.008,101223.48,69491.625,43204.344,65745.75,98077.234,10.156984,3.0272877,.34618714,12.81428,30.575191,1.518889,31.362049,.17987169,.23083404,.2468114,185297872,6086234112,10246194176,1866615296,9619143680,9.1644707
42,9.8316679,.68561435,6.119195,3.686425,6.1222334,5.5652328,10.873919,1.0234298,5.4452052,5.6316323,.23571429,.42463404,.34732142,.47633165,.5848214,.49297294,21350.824,11562.58,21016.799,106362,48627.961,89069.508,69620.391,45529.844,69885.438,100227.73,10.468552,2.7246702,.47006702,13.589729,30.971815,1.0474085,31.715282,.18031406,.22689185,.24302232,133693256,11312875520,7933377024,2072966656,10045596672,7.4238276
43,9.8438768,.83132339,6.0850902,3.5328722,6.1143246,5.562149,10.871203,1.232846,5.4314966,5.6270576,.25463745,.43584099,.34317032,.47496808,.5969646,.4907147,22935.582,18793.863,32051.211,492111.91,49668.648,95186.633,71078.477,44675.207,64782.734,94275.656,10.242357,3.0844188,.69109857,12.481186,30.937502,1.5199093,31.663776,.18995737,.22559467,.24080092,353209312,242174132224,9060495360,1995874176,8887899136,9.5136395
44,9.8114405,.78664756,6.1349192,3.6637735,6.3421035,5.5792236,10.828563,1.1831833,5.4258142,5.5666637,.25581396,.43651301,.32647586,.4691335,.60196781,.48971123,21873.615,13147.122,20647.365,73168.844,56369.375,113400.59,70422.469,46725.688,67748.094,99600.969,10.53562,2.7374372,.61881441,13.423237,31.127737,1.3999227,30.987745,.19054361,.22008623,.23981708,172846816,5353679872,12859695104,2183289856,9920353280,7.4935627
45,9.858077,.76340598,6.131876,3.5693505,6.4018922,5.5775905,10.91653,1.1626351,5.4186745,5.6137991,.25225225,.4344832,.33415234,.47188655,.61179364,.48754165,22678.195,13749.643,20285.211,80958.484,57026.898,103452.91,72932.313,45878.602,64272.777,94089.586,10.464137,2.8829303,.58278871,12.740263,31.109516,1.3517203,31.51474,.18877566,.22267692,.23769686,189052672,6554276352,10702504960,2104846080,8852850688,8.3112869
46,9.8390837,.76166731,6.0741262,3.7467558,6.6361804,5.5600452,10.894891,1.0777891,5.5988846,5.6112237,.26785713,.44303113,.30612245,.4610773,.63520408,.48157769,22501.145,14989.626,23014.234,84465.055,57614.301,108981.76,72520.461,48212.246,67110.211,98968.305,10.44732,2.9702215,.58013707,14.038179,30.914103,1.1616293,31.485832,.19627659,.21259227,.23191707,224688880,7134345216,11877023744,2324420608,9794724864,8.822216
47,9.8519316,.75892234,6.2152529,3.5166101,6.7631726,5.6273313,10.893178,1.1473567,5.3204598,5.5810838,.27295917,.44566956,.3180272,.46590823,.62414968,.48454773,22758.848,14363.662,22494.525,84022.031,67953.82,124547.53,72845.313,47058.641,59542.02,89512.789,10.835818,2.5634646,.57596314,12.366547,31.666857,1.3164275,31.148497,.19862136,.21707048,.23478651,206314784,7059701760,15512087552,2214515712,8012539392,6.5713511
48,9.8277969,.72845805,6.2666926,3.7310147,6.8420854,5.5731325,10.833197,1.2764928,5.381989,5.6432152,.24529991,.43045759,.31512982,.46477565,.63831693,.48070294,22472.773,15432.123,24343.525,79969.703,63566.934,110193.64,72173.977,48941.656,63568.117,100516.06,10.718947,2.6588321,.53065115,13.920471,31.059807,1.629434,31.845877,.18529373,.21601641,.23107532,238150416,6395153408,12142638080,2395285760,10103479296,7.0693879
49,9.8287764,.79418713,6.1912436,3.6081076,6.8272982,5.6529808,10.8049,1.4424872,5.1410031,5.5572996,.26655489,.44234309,.3176865,.46577209,.635373,.48152727,22641.066,14988.447,27541.768,112942.17,74846.141,155419.36,71723.641,49467.465,54328.387,87081.898,10.745338,2.8571148,.63073319,13.01844,31.956192,2.0807695,30.883579,.1956674,.21694364,.23186851,224653552,12755934208,24155176960,2447030016,7583257088,8.163105
