pid,housing,log_consumption,log_liq_wealth,log_housing_wealth,log_income,age,age_sq,cons
8634362,1,10.142171,10.378721,11.990633,10.912486,28,784,1
8635213,0,7.7490959,-.91595513,0,8.7353096,30,900,1
8647216,1,10.084439,7.1857505,9.4491558,10.924733,22,484,1
8658224,1,9.671216,6.641212,8.7602987,10.826676,28,784,1
8659214,1,10.253705,7.3526239,-1.3349055,10.908113,28,784,1
8667213,0,9.8462629,1.5855408,0,10.818914,29,841,1
8674215,0,9.2100191,7.1716251,0,10.527409,23,529,1
8677358,0,9.4070406,7.889535,0,10.119166,26,676,1
8679218,0,10.177149,8.1474257,0,11.19011,26,676,1
8722213,0,10.042951,5.1666694,0,11.214105,27,729,1
8752216,0,9.2904558,4.0041351,0,9.4496202,27,729,1
8790215,1,9.2931013,5.3525577,-1.9598149,9.9833727,28,784,1
8791215,1,9.0919647,4.6718454,8.5444613,10.422546,30,900,1
8792213,1,9.595212,5.0458765,8.8036118,10.706305,30,900,1
8811215,0,9.9516401,5.0196939,0,10.925155,27,729,1
8875214,0,7.5532928,8.0362606,0,9.7875452,28,784,1
8876215,1,10.38884,8.0103273,9.2650967,11.393443,28,784,1
8889215,0,6.8871851,2.1863961,0,.67739302,28,784,1
8902215,1,9.379324,9.7079182,9.5661764,11.384972,28,784,1
8902216,0,9.0052948,3.4627845,0,9.6087933,27,729,1
8904360,0,9.4921904,6.4573383,0,10.395333,28,784,1
8925213,1,9.8785782,6.9401383,10.964214,10.992579,28,784,1
8925214,1,9.860877,9.9800062,11.493967,11.200664,26,676,1
8931214,0,8.324316,5.4504766,0,9.6271534,28,784,1
8934217,1,9.0843935,8.577611,7.3905153,10.176166,27,729,1
8934219,1,9.5253153,-2.9016709,10.173131,10.466913,26,676,1
8939216,1,9.940465,8.07127,9.2950048,10.610559,30,900,1
8945215,0,8.1212263,5.0176549,0,10.462263,30,900,1
8945355,0,10.257195,2.9163423,0,11.292521,30,900,1
8951219,0,10.097016,6.3067203,0,10.44429,29,841,1
8980214,0,9.8307638,8.5826817,0,10.117886,27,729,1
9001213,1,10.775636,6.641212,-.80861562,11.763249,27,729,1
9005214,1,10.102448,5.4042625,7.2243834,10.5936,27,729,1
9009213,1,10.565252,8.7835178,7.8788028,11.409619,30,900,1
9063218,0,10.070047,12.089949,0,11.593805,29,841,1
9067359,0,9.4757957,7.9338107,0,10.259215,28,784,1
9097213,0,9.0056238,-3.8309646,0,10.189397,28,784,1
9125215,1,9.7734089,6.7578168,8.3615246,11.037454,29,841,1
9143213,1,9.0030851,-1.1494145,7.4452333,10.813293,26,676,1
9149216,1,10.12674,5.1781702,10.411244,10.931844,27,729,1
9150216,0,9.392211,4.1097174,0,10.11116,28,784,1
9150367,0,9.8309603,8.057518,0,10.768717,29,841,1
9171214,1,9.4932795,5.1630721,7.0565615,11.054242,29,841,1
9174222,0,9.8387852,1.4190254,0,10.695029,26,676,1
9174386,1,10.139305,1.6573348,.77748638,10.831218,25,625,1
9183213,0,9.7611361,6.1904335,0,10.321361,27,729,1
9184214,0,9.408926,7.1030679,0,10.965972,29,841,1
9225213,1,9.6736021,7.1288786,8.563693,10.639626,28,784,1
9226214,0,9.6401825,9.1152658,0,10.845251,28,784,1
9227213,1,9.9487391,8.0275068,10.202682,10.8861,27,729,1
9263215,1,9.0247869,2.8445814,8.3513441,9.9701147,23,529,1
9289214,0,8.9299402,5.5571585,0,9.6487579,28,784,1
9290213,0,10.38744,9.4152966,0,12.085107,30,900,1
9290215,1,10.178928,10.269186,10.60701,11.973275,26,676,1
9304359,0,10.030281,2.7268865,0,10.366994,29,841,1
9308215,1,9.9081583,9.9578257,12.124301,12.159381,25,625,1
9308216,1,10.778787,5.7956944,9.2568407,10.789824,30,900,1
9308218,1,10.141541,6.4929519,8.9343414,11.071594,28,784,1
9330217,0,10.620461,6.6252456,0,10.809297,29,841,1
9338213,1,9.9802828,5.8633771,6.7301641,10.815592,28,784,1
9338214,1,9.7547731,6.3172941,8.6397715,10.210372,29,841,1
9378361,0,9.0551386,5.0176549,0,10.322501,28,784,1
9381213,1,9.6451035,5.0749192,7.1356292,11.164452,28,784,1
9387213,1,10.083755,11.158265,11.579033,11.847435,28,784,1
9387217,0,9.8366604,7.3781219,0,10.448173,30,900,1
9402218,0,8.8191462,1.1041327,0,11.235485,26,676,1
9404213,1,9.6558237,5.1066575,7.1425819,11.103773,28,784,1
9453214,0,10.408083,7.24261,0,10.810378,28,784,1
9462216,0,10.226179,6.2185678,0,11.009574,28,784,1
9462220,1,9.0468597,-1.0411229,8.136632,10.849704,24,576,1
9473218,0,9.2401886,9.4084005,0,10.693182,28,784,1
9482213,0,9.2052069,6.3230047,0,11.074794,29,841,1
9482360,0,10.156356,8.5826817,0,11.50622,30,900,1
9483216,1,9.4356689,6.170835,8.777523,11.130712,29,841,1
9486218,1,9.9005919,9.0147715,11.16011,11.664792,29,841,1
9486219,1,9.8252964,6.5798965,9.2596893,10.76937,24,576,1
9487219,1,9.6174459,7.3736286,9.6887379,10.94698,26,676,1
9487227,1,9.5864506,4.4895239,-1.8607005,10.07424,27,729,1
9497214,0,9.5593786,5.1066575,0,10.564776,30,900,1
9518356,1,10.023237,11.773504,10.660767,12.677795,26,676,1
9533214,1,8.8004227,2.439955,7.8577571,10.462473,30,900,1
9533219,1,9.9072323,7.6320729,9.614831,10.794111,26,676,1
9533222,0,9.1875858,2.1051712,0,11.010599,28,784,1
9552215,1,10.192196,8.9431114,9.2815332,11.014896,28,784,1
9579371,1,9.6487274,9.7688017,12.771926,10.126474,30,900,1
9586215,0,7.9263048,-.60106236,0,8.8527565,28,784,1
9648357,0,8.9325733,9.6350937,0,10.946052,29,841,1
9672216,1,9.97194,6.8373485,7.956738,10.816278,26,676,1
9678216,0,9.377696,6.0998611,0,10.70549,24,576,1
9699357,0,8.8624134,4.8334861,0,11.298643,30,900,1
9724219,0,8.2236471,-1.5972509,0,8.3981924,28,784,1
9754213,1,9.5842743,7.0824804,9.4861469,10.551769,30,900,1
9770213,0,9.759757,9.0282688,0,10.703552,29,841,1
9779219,0,9.8690557,.085083447,0,9.389905,24,576,1
9967185,0,10.281227,13.022551,0,11.474532,23,529,1
10043188,0,9.8072748,6.9732442,0,8.8095932,26,676,1
10067188,0,8.3712482,-1.0778785,0,10.274163,24,576,1
10080185,0,9.3398447,7.9387245,0,10.625129,27,729,1
10108353,0,10.661087,2.8770494,0,10.137327,29,841,1
10109186,0,10.027905,2.3266537,0,11.143994,29,841,1
10109188,0,8.8301744,1.154635,0,10.361242,28,784,1
10109190,0,9.057992,3.2545731,0,9.1979342,26,676,1
10109353,0,11.115103,2.3266537,0,10.267943,23,529,1
10124186,0,8.4235516,1.257102,0,8.9684544,30,900,1
10160186,1,9.7607355,-.91595513,10.619643,9.943223,22,484,1
10217185,0,9.434823,.70679849,0,9.2037592,29,841,1
10253188,1,9.9846325,10.425848,10.586056,10.80635,30,900,1
10302185,0,10.097084,6.0975709,0,11.612855,30,900,1
10303353,1,9.6273632,6.5334606,9.7746792,10.801248,26,676,1
11884218,0,9.6584244,5.2513227,0,11.18617,28,784,1
11884221,0,10.778781,5.2513227,0,12.070212,26,676,1
11884222,0,9.864171,4.93643,0,8.6952858,25,625,1
11906225,0,9.8855133,8.5507793,0,10.389807,28,784,1
11906226,0,8.6001701,1.6818442,0,9.9970694,24,576,1
11909216,0,11.150788,11.579168,0,10.990348,29,841,1
11920220,0,9.58743,7.9796376,0,10.381331,29,841,1
11924364,0,9.9309521,10.885976,0,11.427914,30,900,1
11924376,0,9.4352884,4.0883608,0,11.293034,25,625,1
11929215,0,10.601477,8.5954504,0,10.852342,29,841,1
11938221,0,10.099239,2.9163423,0,11.363138,26,676,1
12054225,0,9.3180323,3.3124599,0,11.557988,27,729,1
12149213,1,9.8982544,10.540558,12.740767,11.317911,29,841,1
12162215,1,10.535717,11.623578,2.6153705,12.50803,24,576,1
12171224,0,8.9785852,2.9975672,0,10.918651,27,729,1
12178214,0,9.9613285,9.9337587,0,11.02915,30,900,1
12186357,1,9.403677,9.7151165,11.242949,11.676926,30,900,1
12251213,0,9.4945593,2.9975672,0,9.8890314,30,900,1
12265214,0,9.6568584,-.52288967,0,10.445671,30,900,1
12265364,0,10.229698,2.0682735,0,9.9818888,29,841,1
12278214,0,9.3591309,2.9975672,0,11.312549,28,784,1
12302378,0,10.145397,4.93643,0,10.943613,26,676,1
12323355,1,9.9241352,2.3831661,12.654624,11.103784,28,784,1
12398380,0,10.532531,2.9163423,0,10.440005,26,676,1
12411218,0,10.789997,5.0176549,0,10.632656,30,900,1
12442217,0,10.341763,-.52288967,0,11.00312,29,841,1
12442220,1,9.8117332,11.502376,2.0350571,11.557274,29,841,1
12445224,0,8.8183889,4.8034863,0,1.1785908,24,576,1
12491217,0,10.838293,6.552897,0,10.852512,27,729,1
12495223,0,9.9553833,9.3203011,0,10.473124,26,676,1
12495224,1,10.807176,4.4885936,15.412774,11.948547,29,841,1
12500215,0,10.166401,4.93643,0,11.006331,30,900,1
12507214,0,10.909921,11.403996,0,11.764698,30,900,1
12536217,0,10.33829,2.9163423,0,11.189975,27,729,1
12548357,1,10.421069,6.552897,12.845626,11.578746,27,729,1
12590358,0,9.1185856,5.0176549,0,11.178848,30,900,1
12621218,0,8.7625122,4.0883608,0,10.65652,30,900,1
12622216,0,9.2692213,1.7902784,0,10.869943,26,676,1
12686219,0,9.8962984,12.105165,0,11.874383,28,784,1
12686221,0,10.165799,4.93643,0,11.258999,25,625,1
12693356,0,9.3413353,9.4262486,0,10.597067,27,729,1
12725218,0,10.198248,2.0682735,0,10.517406,29,841,1
12776222,1,9.8416595,2.4685061,13.018595,11.367678,28,784,1
12776224,0,11.517153,4.93643,0,11.673939,27,729,1
12788216,0,9.3355989,4.2502842,0,10.250062,22,484,1
12794216,0,9.7602406,2.0682735,0,10.267694,28,784,1
12794217,0,11.067177,9.3964567,0,10.449684,30,900,1
12794218,0,9.3880367,4.4885936,0,11.022741,27,729,1
12794222,0,9.9022169,11.160045,0,11.409761,25,625,1
12794356,0,9.6021957,2.4685061,0,8.6894817,27,729,1
12832219,0,8.8009233,2.7833989,0,10.185893,30,900,1
12863214,0,9.2412024,10.823573,0,10.81291,24,576,1
