	PHtM	WHtM	mort	H	logC	logHW	logY	logLW	logM	
L_PHtM	 .40028322	 .04039139	-.03603733	 .00462831	 .03510249	 .13648117	 -.0187521	-.24272785	-.19129138	
L_WHtM	 .03839567	 .38534415	-.04245679	-.03639269	 .03681698	-.64951694	 .04071417	-.50103962	-.25456408	
L_dummy_mort	-.09677192	-.42321423	 .63292313	 .09662039	-.15710612	 1.0156174	-.37941179	-1.9363669	-1.2799106	
L_housing	-.35954869	 .31920242	  .2012435	 .87789923	 .10264941	 5.2066326	 .03180502	 .24514616	 2.0516651	
L_log_consumption	 .00510109	 .01613878	 .00180414	 .00011008	  .4968667	 .03898543	  .3166599	 .10753529	 .04716637	
L_log_housing_wealth	 -.0026491	-.00796469	 .00171489	 .00406961	 .00585971	 .46263742	 .00681088	 .07434323	 .03172686	
L_log_income	-.01358411	-.01081258	 .00997678	 .00483688	 .08302443	 .07589633	 .38333121	 .31854048	 .12873974	
L_log_liq_wealth	-.00153175	-.00497432	-.00283824	  .0013241	 .01255192	 .03965891	 .03754719	 .42718428	-.00586767	
L_log_mortgage	 .00659221	 .04031697	  .0020118	-.00576467	 .01788186	-.08864526	 .04853647	 .16592105	 .77528071	
_cons	 .17369944	 .16923389	-.03392996	-.04743776	 3.2954056	 .49560186	 1.5613859	 .26587948	 -1.684175	
age	 .02271391	-.01935451	-.00514917	-.00367866	 .03798851	-.19277927	 .11641234	-.08442552	-.01268134	
age2	-.00044268	 .00053337	 .00019337	 .00012394	-.00075767	 .00510103	-.00253324	  .0013005	  .0010815	
age3	 2.699e-06	-4.543e-06	-2.184e-06	-9.953e-07	 4.274e-06	-.00003787	 .00001735	-3.439e-06	-.00001615	
bought	 -.6267584	 .53204495	 .74527591	 .99861515	 .19098787	 9.6295824	 .22592267	 .53051966	 8.2204895	
