	L_PHtM	L_WHtM	L_mort	L_H	L_logC	L_logHW	L_logY	L_logLW	L_logM	constant	age	age2	age3	
PHtM	 .40028322	 .03839567	-.09677192	-.35954869	 .00510109	 -.0026491	-.01358411	-.00153175	 .00659221	 .17369944	 .02271391	-.00044268	 2.699e-06	
WHtM	 .04039139	 .38534415	-.42321423	 .31920242	 .01613878	-.00796469	-.01081258	-.00497432	 .04031697	 .16923389	-.01935451	 .00053337	-4.543e-06	
dummy_mort	-.03603733	-.04245679	 .63292313	  .2012435	 .00180414	 .00171489	 .00997678	-.00283824	  .0020118	-.03392996	-.00514917	 .00019337	-2.184e-06	
housing	 .00462831	-.03639269	 .09662039	 .87789923	 .00011008	 .00406961	 .00483688	  .0013241	-.00576467	-.04743776	-.00367866	 .00012394	-9.953e-07	
log_consumption	 .03510249	 .03681698	-.15710612	 .10264941	  .4968667	 .00585971	 .08302443	 .01255192	 .01788186	 3.2954056	 .03798851	-.00075767	 4.274e-06	
log_housing_wealth	 .13648117	-.64951694	 1.0156174	 5.2066326	 .03898543	 .46263742	 .07589633	 .03965891	-.08864526	 .49560186	-.19277927	 .00510103	-.00003787	
log_income	 -.0187521	 .04071417	-.37941179	 .03180502	  .3166599	 .00681088	 .38333121	 .03754719	 .04853647	 1.5613859	 .11641234	-.00253324	 .00001735	
log_liq_wealth	-.24272785	-.50103962	-1.9363669	 .24514616	 .10753529	 .07434323	 .31854048	 .42718428	 .16592105	 .26587948	-.08442552	  .0013005	-3.439e-06	
log_mortgage	-.19129138	-.25456408	-1.2799106	 2.0516651	 .04716637	 .03172686	 .12873974	-.00586767	 .77528071	 -1.684175	-.01268134	  .0010815	-.00001615	
