c1,xvar1,xvar2
.49681333,log_consumption,L_log_consumption
.012361146,log_consumption,L_log_liq_wealth
.0052444083,log_consumption,L_log_housing_wealth
.082201719,log_consumption,L_log_income
.018802518,log_consumption,L_log_mortgage
.042378131,log_consumption,L_WHtM
.034708396,log_consumption,L_PHtM
-.16977473,log_consumption,L_dummy_mort
.038568608,log_consumption,age
-.00077746576,log_consumption,age2
4.4380536e-06,log_consumption,age3
.18264399,log_consumption,bought
-.15553808,log_consumption,sold
.11908583,log_consumption,L_housing
.011472141,log_consumption,new_mort
3.3034279,log_consumption,_cons
.107896,log_liq_wealth,L_log_consumption
.42599681,log_liq_wealth,L_log_liq_wealth
.071048342,log_liq_wealth,L_log_housing_wealth
.31574401,log_liq_wealth,L_log_income
.16998719,log_liq_wealth,L_log_mortgage
-.47229522,log_liq_wealth,L_WHtM
-.25021872,log_liq_wealth,L_PHtM
-2.0383501,log_liq_wealth,L_dummy_mort
-.081740044,log_liq_wealth,age
.0012131408,log_liq_wealth,age2
-2.7946924e-06,log_liq_wealth,age3
.63639295,log_liq_wealth,bought
-.75642228,log_liq_wealth,sold
.36879602,log_liq_wealth,L_housing
-.14049976,log_liq_wealth,new_mort
.29387739,log_liq_wealth,_cons
.042021655,log_housing_wealth,L_log_consumption
.024332497,log_housing_wealth,L_log_liq_wealth
.4188599,log_housing_wealth,L_log_housing_wealth
.034369193,log_housing_wealth,L_log_income
-.032273445,log_housing_wealth,L_log_mortgage
-.26479211,log_housing_wealth,L_WHtM
.051570758,log_housing_wealth,L_PHtM
-.24662519,log_housing_wealth,L_dummy_mort
-.15595509,log_housing_wealth,age
.0038896215,log_housing_wealth,age2
-.000028676133,log_housing_wealth,age3
10.627261,log_housing_wealth,bought
-10.25797,log_housing_wealth,sold
6.7527018,log_housing_wealth,L_housing
-1.3181663,log_housing_wealth,new_mort
.90823954,log_housing_wealth,_cons
.31596053,log_income,L_log_consumption
.037511148,log_income,L_log_liq_wealth
.0061624516,log_income,L_log_housing_wealth
.38086355,log_income,L_log_income
.050366111,log_income,L_log_mortgage
.047604535,log_income,L_WHtM
-.013815261,log_income,L_PHtM
-.35879937,log_income,L_dummy_mort
.1174424,log_income,age
-.0025726706,log_income,age2
.000017752722,log_income,age3
.067369774,log_income,bought
-.23998435,log_income,sold
.01368064,log_income,L_housing
.21295664,log_income,new_mort
1.5847216,log_income,_cons
.013138042,log_mortgage,L_log_consumption
-.0018568822,log_mortgage,L_log_liq_wealth
.017523704,log_mortgage,L_log_housing_wealth
.028123247,log_mortgage,L_log_income
.8403582,log_mortgage,L_log_mortgage
-.073681422,log_mortgage,L_WHtM
.072546512,log_mortgage,L_PHtM
.15962207,log_mortgage,L_dummy_mort
.022062005,log_mortgage,age
-.00032238779,log_mortgage,age2
-6.2589413e-07,log_mortgage,age3
.39083639,log_mortgage,bought
-7.4695935,log_mortgage,sold
.62349784,log_mortgage,L_housing
10.508084,log_mortgage,new_mort
-.74010515,log_mortgage,_cons
.016077165,WHtM,L_log_consumption
-.0056388662,WHtM,L_log_liq_wealth
-.010012073,WHtM,L_log_housing_wealth
-.013261481,WHtM,L_log_income
.043225452,WHtM,L_log_mortgage
.40366295,WHtM,L_WHtM
.038114805,WHtM,L_PHtM
-.47149384,WHtM,L_dummy_mort
-.017499754,WHtM,age
.00047083985,WHtM,age2
-4.0397103e-06,WHtM,age3
.53129011,WHtM,bought
-.50382775,WHtM,sold
.3802866,WHtM,L_housing
.0019469055,WHtM,new_mort
.19324361,WHtM,_cons
.0050871,PHtM,L_log_consumption
-.00070374098,PHtM,L_log_liq_wealth
-.00016818842,PHtM,L_log_housing_wealth
-.010837295,PHtM,L_log_income
.0031863295,PHtM,L_log_mortgage
.016339842,PHtM,L_WHtM
.40377966,PHtM,L_PHtM
-.033587422,PHtM,L_dummy_mort
.020524129,PHtM,age
-.00036946731,PHtM,age2
2.1213598e-06,PHtM,age3
-.64648765,PHtM,bought
.60002673,PHtM,sold
-.4384535,PHtM,L_housing
.025329713,PHtM,new_mort
.14665705,PHtM,_cons
-.0012810415,dummy_mort,L_log_consumption
-.0024658632,dummy_mort,L_log_liq_wealth
.00045343768,dummy_mort,L_log_housing_wealth
.00088383554,dummy_mort,L_log_income
.0078757871,dummy_mort,L_log_mortgage
-.026290931,dummy_mort,L_WHtM
-.012080619,dummy_mort,L_PHtM
.76410013,dummy_mort,L_dummy_mort
-.0020224489,dummy_mort,age
.000066862114,dummy_mort,age2
-7.8275292e-07,dummy_mort,age3
.035224609,dummy_mort,bought
-.67085779,dummy_mort,sold
.070930764,dummy_mort,L_housing
.95293927,dummy_mort,new_mort
.05137438,dummy_mort,_cons
