	L_PHtM	L_WHtM	L_H	L_logC	L_logHW	L_logY	L_logLW	L_logM	constant	age	age2	age3	
PHtM	  .3760995	 .07382473	-.37644434	  .0060596	-.00436136	-.01411095	-.00240057	-.00017766	 .13090925	 .02776195	-.00055689	 3.514e-06	
WHtM	 .05980387	 .39348421	 .31256935	 .01673197	-.00867449	-.00592065	-.00085038	 .00193793	 .10560331	-.02168838	 .00059413	-5.035e-06	
housing	 -.0004059	-.04668574	 .85175842	-.00064085	  .0070364	 .00462309	 .00074504	 .00261645	-.00118672	 -.0056308	 .00016558	-1.298e-06	
log_consumption	  .0512917	 .05277543	 .11272783	  .4863258	 .00495261	 .08101337	 .01438039	 .00366874	 3.3487504	 .04258174	-.00090247	 5.562e-06	
log_housing_wealth	 .17695801	-.89459759	 4.9070578	 .02025188	 .50779259	 .05265405	  .0283726	-.00063739	 1.1646239	-.19988364	 .00511533	-.00003747	
log_income	 .01179714	  .0871064	 .06670912	 .31663197	-.00024214	 .37228107	  .0411547	 .01573858	 1.5885755	 .11799107	  -.002562	 .00001755	
log_liq_wealth	-.11498527	-.43647483	 .00817066	 .11237052	 .08400095	 .29376271	 .43888029	 .00628624	 .46745175	-.09808124	 .00159788	-5.479e-06	
log_mortgage	-.14245816	-.13239983	 1.8743931	 .03705698	 .03524485	 .13179305	 .01205946	 .66254216	-1.6272187	-.01938334	 .00120335	-.00001671	
