c1,xvar1,xvar2
.4863258,log_consumption,L_log_consumption
.01438039,log_consumption,L_log_liq_wealth
.0049526133,log_consumption,L_log_housing_wealth
.081013367,log_consumption,L_log_income
.0036687441,log_consumption,L_log_mortgage
.052775431,log_consumption,L_WHtM
.0512917,log_consumption,L_PHtM
.11272783,log_consumption,L_housing
.042581737,log_consumption,age
-.00090246944,log_consumption,age2
5.5618416e-06,log_consumption,age3
.19872859,log_consumption,bought
3.3487504,log_consumption,_cons
.11237052,log_liq_wealth,L_log_consumption
.43888029,log_liq_wealth,L_log_liq_wealth
.084000945,log_liq_wealth,L_log_housing_wealth
.29376271,log_liq_wealth,L_log_income
.006286242,log_liq_wealth,L_log_mortgage
-.43647483,log_liq_wealth,L_WHtM
-.11498527,log_liq_wealth,L_PHtM
.0081706578,log_liq_wealth,L_housing
-.098081239,log_liq_wealth,age
.0015978797,log_liq_wealth,age2
-5.4793131e-06,log_liq_wealth,age3
.52185875,log_liq_wealth,bought
.46745175,log_liq_wealth,_cons
.020251878,log_housing_wealth,L_log_consumption
.028372599,log_housing_wealth,L_log_liq_wealth
.50779259,log_housing_wealth,L_log_housing_wealth
.05265405,log_housing_wealth,L_log_income
-.00063738623,log_housing_wealth,L_log_mortgage
-.89459759,log_housing_wealth,L_WHtM
.17695801,log_housing_wealth,L_PHtM
4.9070578,log_housing_wealth,L_housing
-.19988364,log_housing_wealth,age
.0051153344,log_housing_wealth,age2
-.000037473706,log_housing_wealth,age3
9.593051,log_housing_wealth,bought
1.1646239,log_housing_wealth,_cons
.31663197,log_income,L_log_consumption
.041154705,log_income,L_log_liq_wealth
-.00024213541,log_income,L_log_housing_wealth
.37228107,log_income,L_log_income
.015738584,log_income,L_log_mortgage
.087106399,log_income,L_WHtM
.01179714,log_income,L_PHtM
.066709116,log_income,L_housing
.11799107,log_income,age
-.0025620027,log_income,age2
.000017546747,log_income,age3
.22156787,log_income,bought
1.5885755,log_income,_cons
.037056979,log_mortgage,L_log_consumption
.012059464,log_mortgage,L_log_liq_wealth
.035244852,log_mortgage,L_log_housing_wealth
.13179305,log_mortgage,L_log_income
.66254216,log_mortgage,L_log_mortgage
-.13239983,log_mortgage,L_WHtM
-.14245816,log_mortgage,L_PHtM
1.8743931,log_mortgage,L_housing
-.019383341,log_mortgage,age
.0012033519,log_mortgage,age2
-.000016710315,log_mortgage,age3
8.0796261,log_mortgage,bought
-1.6272187,log_mortgage,_cons
.01673197,WHtM,L_log_consumption
-.0008503751,WHtM,L_log_liq_wealth
-.0086744875,WHtM,L_log_housing_wealth
-.0059206532,WHtM,L_log_income
.001937926,WHtM,L_log_mortgage
.39348421,WHtM,L_WHtM
.059803866,WHtM,L_PHtM
.31256935,WHtM,L_housing
-.021688377,WHtM,age
.00059413095,WHtM,age2
-5.0348112e-06,WHtM,age3
.50928462,WHtM,bought
.10560331,WHtM,_cons
.0060595958,PHtM,L_log_consumption
-.0024005661,PHtM,L_log_liq_wealth
-.0043613622,PHtM,L_log_housing_wealth
-.014110951,PHtM,L_log_income
-.00017766366,PHtM,L_log_mortgage
.073824726,PHtM,L_WHtM
.3760995,PHtM,L_PHtM
-.37644434,PHtM,L_housing
.027761949,PHtM,age
-.00055689004,PHtM,age2
3.5137286e-06,PHtM,age3
-.59440279,PHtM,bought
.13090925,PHtM,_cons
-.00064085424,housing,L_log_consumption
.000745041,housing,L_log_liq_wealth
.0070363977,housing,L_log_housing_wealth
.0046230941,housing,L_log_income
.0026164511,housing,L_log_mortgage
-.046685744,housing,L_WHtM
-.0004058996,housing,L_PHtM
.85175842,housing,L_housing
-.0056307972,housing,age
.00016558146,housing,age2
-1.2981475e-06,housing,age3
.99817997,housing,bought
-.0011867214,housing,_cons
