c1,xvar1,xvar2
.40978169,log_consumption,L_log_consumption
.20988064,log_consumption,L2_log_consumption
.0090053072,log_consumption,L_log_liq_wealth
.0015021949,log_consumption,L2_log_liq_wealth
.0013875269,log_consumption,L_log_housing_wealth
.0032094941,log_consumption,L2_log_housing_wealth
.046561729,log_consumption,L_log_income
.03958077,log_consumption,L2_log_income
.0074959318,log_consumption,L_log_mortgage
-.0013668082,log_consumption,L2_log_mortgage
.029349413,log_consumption,L_WHtM
-.0011043899,log_consumption,L2_WHtM
.013529971,log_consumption,L_PHtM
.0078941528,log_consumption,L2_PHtM
-.066842832,log_consumption,L_dummy_mort
.031287279,log_consumption,L2_dummy_mort
.09956526,log_consumption,L_housing
-.0090844249,log_consumption,L2_housing
.0204056,log_consumption,age
-.0004801813,log_consumption,age2
2.8824256e-06,log_consumption,age3
.17386849,log_consumption,bought
-.022469303,log_consumption,L_bought
-.033019908,log_consumption,L2_bought
-.038922172,log_consumption,L_underwater
.087604821,log_consumption,L2_underwater
2.4543121,log_consumption,_cons
.04932997,log_liq_wealth,L_log_consumption
-.075068802,log_liq_wealth,L2_log_consumption
.33387342,log_liq_wealth,L_log_liq_wealth
.21877788,log_liq_wealth,L2_log_liq_wealth
.038494535,log_liq_wealth,L_log_housing_wealth
.026039137,log_liq_wealth,L2_log_housing_wealth
.21744189,log_liq_wealth,L_log_income
.11844718,log_liq_wealth,L2_log_income
.10514096,log_liq_wealth,L_log_mortgage
.0033012379,log_liq_wealth,L2_log_mortgage
-.27019152,log_liq_wealth,L_WHtM
-.2445588,log_liq_wealth,L2_WHtM
-.17119126,log_liq_wealth,L_PHtM
-.21637081,log_liq_wealth,L2_PHtM
-1.3592564,log_liq_wealth,L_dummy_mort
-.069495566,log_liq_wealth,L2_dummy_mort
.52229446,log_liq_wealth,L_housing
-.30335921,log_liq_wealth,L2_housing
-.17064132,log_liq_wealth,age
.0032463407,log_liq_wealth,age2
-.000018506547,log_liq_wealth,age3
.53475064,log_liq_wealth,bought
-.47834226,log_liq_wealth,L_bought
-.284385,log_liq_wealth,L2_bought
-.29951024,log_liq_wealth,L_underwater
-.031407502,log_liq_wealth,L2_underwater
2.1545868,log_liq_wealth,_cons
.012993042,log_housing_wealth,L_log_consumption
-.0086264508,log_housing_wealth,L2_log_consumption
