	log_consumption	log_liq_wealth	log_housing_wealth	log_income	log_mortgage	WHtM	PHtM	housing	
log_consumption	 .30422436	 .15695517	 .06583474	 .13287612	 .05284015	 .00203508	-.00822062	 .00412601	
log_liq_wealth	 .15695517	 8.4011904	 .47632631	 .35303137	  .2478178	-.36971168	-.33920436	 .01857095	
log_housing_wealth	 .06583474	 .47632631	  6.560629	 .09849327	 1.4477846	 .25787988	 -.3289741	 .27922196	
log_income	 .13287612	 .35303137	 .09849327	 .99694189	 .17127822	 .00723664	-.00335821	  .0066548	
log_mortgage	 .05284015	  .2478178	 1.4477846	 .17127822	 9.5617161	 .07574637	-.08134611	 .22677568	
WHtM	 .00203508	-.36971168	 .25787988	 .00723664	 .07574637	 .11506222	-.01980415	 .01191101	
PHtM	-.00822062	-.33920436	 -.3289741	-.00335821	-.08134611	-.01980415	 .09278454	-.01490261	
housing	 .00412601	 .01857095	 .27922196	  .0066548	 .22677568	 .01191101	-.01490261	 .02754835	
