	H	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .01722085	-.00588721	 .00883829	 .01679132	-.00773556	 .18844614	  .0023999	-.04737227	 .20077955	
phtm	-.00588721	 .03885872	-.00467081	-.00683013	 .00020386	-.05923134	-.00607425	-.22491438	-.08289935	
whtm	 .00883829	-.00467081	 .06768481	 .01108594	-.01885091	 .10548624	-.00295778	-.41354258	 .12600376	
mort	 .01679132	-.00683013	 .01108594	 .02800141	-.01004525	 .18352532	 .00305533	-.06499885	 .31189336	
logC	-.00773556	 .00020386	-.01885091	-.01004525	 .04877368	-.09438813	 .01953053	 .18433672	-.11636367	
logHW	 .18844614	-.05923134	 .10548624	 .18352532	-.09438813	 2.0874975	 .02679524	-.63271269	 2.1866566	
logY	  .0023999	-.00607425	-.00295778	 .00305533	 .01953053	 .02679524	 .02220028	 .07770623	 .03573645	
logLW	-.04737227	-.22491438	-.41354258	-.06499885	 .18433672	-.63271269	 .07770623	 5.5327116	-.69764758	
logM	 .20077955	-.08289935	 .12600376	 .31189336	-.11636367	 2.1866566	 .03573645	-.69764758	 3.5204008	
