	H	phtm	whtm	mort	logC	logHW	logY	logLW	logM	
H	 .00962104	-.00610003	 .00698803	 .00969672	-.00013556	 .09149694	 .00083416	-.00749333	 .11298958	
phtm	-.00610003	 .03044794	-.00666292	-.00701724	-.00011521	-.05661621	-.00414615	-.15929585	-.08232894	
whtm	 .00698803	-.00666292	 .04019871	 .00489428	 .00003108	 .06451262	-.00052567	-.18411038	 .05701413	
mort	 .00969672	-.00701724	 .00489428	 .02097297	-.00011349	 .09179139	 .00080779	 .01897317	 .21352181	
logC	-.00013556	-.00011521	 .00003108	-.00011349	  .0233471	-.00166621	 .02098572	 .01531155	-.00266845	
logHW	 .09149694	-.05661621	 .06451262	 .09179139	-.00166621	 .87782822	  .0091122	-.06351537	 1.0746007	
logY	 .00083416	-.00414615	-.00052567	 .00080779	 .02098572	  .0091122	 .02221565	 .05039824	 .01108136	
logLW	-.00749333	-.15929585	-.18411038	 .01897317	 .01531155	-.06351537	 .05039824	 2.8427979	 .22676079	
logM	 .11298958	-.08232894	 .05701413	 .21352181	-.00266845	 1.0746007	 .01108136	 .22676079	 2.2744641	
