	phtm	whtm	mort	H	logC	logHW	logY	logLW	logM	
phtm	 .04572654	-.00372851	-.00147557	 -.0015347	-.01318515	-.01263794	-.01361887	-.17061018	-.01474903	
whtm	-.00372851	 .06446441	 .00863735	 .00441702	-.00941362	 .04690164	-.00467187	-.28075918	 .08686786	
mort	-.00147557	 .00863735	 .03331588	 .01416172	-.00412219	 .14756607	 .00842397	-.06699595	 .35366204	
H	 -.0015347	 .00441702	 .01416172	 .01503139	-.00370342	 .15423158	 .00426747	-.03063469	 .17252969	
logC	-.01318515	-.00941362	-.00412219	-.00370342	 .19286545	-.04594418	 .10146278	 .27416601	-.05852725	
logHW	-.01263794	 .04690164	 .14756607	 .15423158	-.04594418	 1.6048944	 .05024323	 -.3568633	 1.8092977	
logY	-.01361887	-.00467187	 .00842397	 .00426747	 .10146278	 .05024323	 .11593886	 .21499158	 .12125835	
logLW	-.17061018	-.28075918	-.06699595	-.03063469	 .27416601	 -.3568633	 .21499158	 4.0721375	-.65926135	
logM	-.01474903	 .08686786	 .35366204	 .17252969	-.05852725	 1.8092977	 .12125835	-.65926135	  4.103404	
