	phtm	whtm	mort	H	logC	logHW	logY	logLW	logM	
phtm	 .04458258	-.00581148	-.00519523	-.00383655	-.00994993	-.03647688	-.01612993	-.26146968	-.05773272	
whtm	-.00581148	 .07011803	 .00569744	 .00367029	 .00259254	 .03158395	 .00018581	-.36284029	 .04011239	
mort	-.00519523	 .00569744	 .02780563	 .01170042	 -.0006687	 .11891949	 .00639419	-.01343172	 .29063515	
H	-.00383655	 .00367029	 .01170042	 .01178631	-.00031347	 .12035631	  .0038234	-.00557252	 .14457712	
logC	-.00994993	 .00259254	 -.0006687	-.00031347	 .21105628	-.01018249	 .10937012	 .11504948	-.01586771	
logHW	-.03647688	 .03158395	 .11891949	 .12035631	-.01018249	 1.2489136	 .04356725	-.03079142	 1.4865305	
logY	-.01612993	 .00018581	 .00639419	  .0038234	 .10937012	 .04356725	 .11573033	 .17110176	 .10124804	
logLW	-.26146968	-.36284029	-.01343172	-.00557252	 .11504948	-.03079142	 .17110176	 5.5607052	 .06584847	
logM	-.05773272	 .04011239	 .29063515	 .14457712	-.01586771	 1.4865305	 .10124804	 .06584847	 3.3932108	
