	phtm	whtm	mort	H	logC	logHW	logY	logLW	logM	
phtm	 .09735412	-.02154916	-.00804176	-.01435655	-.00311821	-.34384795	 .00058091	-.34541962	  -.084707	
whtm	-.02154916	  .1247785	 .00629816	 .01213813	 .00116859	 .27939269	 .00639617	-.40220966	 .07681349	
mort	-.00804176	 .00629816	 .07811429	 .02082219	  .0033618	 .14204757	 .00858898	  .0055999	 .85140714	
H	-.01435655	 .01213813	 .02082219	 .02686896	  .0026049	  .2683996	 .00404528	 .01492554	 .23194158	
logC	-.00311821	 .00116859	  .0033618	  .0026049	  .1752731	 .04037497	  .0470115	 .09020292	 .04908628	
logHW	-.34384795	 .27939269	 .14204757	  .2683996	 .04037497	 6.6698797	 .06636881	 .42673223	  1.452585	
logY	 .00058091	 .00639617	 .00858898	 .00404528	  .0470115	 .06636881	 .36884821	  .2471774	 .12671291	
logLW	-.34541962	-.40220966	  .0055999	 .01492554	 .09020292	 .42673223	  .2471774	 8.6271327	 .18438882	
logM	  -.084707	 .07681349	 .85140714	 .23194158	 .04908628	  1.452585	 .12671291	 .18438882	 9.7615774	
