d_c,lag_log_a,_Iage_group_1,_Iage_group_2,_Iage_group_3
.3131876,10.67982,0,1,0
.037358284,11.033852,0,1,0
-.31759262,11.674876,1,0,0
-1.2427034,11.609135,1,0,0
.55101109,10.67982,0,1,0
.7143631,11.439317,0,1,0
-.27229691,9.7921257,1,0,0
.24471951,7.6874485,0,1,0
-.63650417,7.7628531,0,1,0
-.23930359,9.1881647,0,0,1
.010452271,9.2618942,0,0,1
-.28054619,7.8767161,0,1,0
.75088501,9.5546131,0,1,0
.059542656,7.4094982,1,0,0
.63717079,8.5208178,1,0,0
-.53744984,8.1683187,1,0,0
.4673214,7.40943,0,1,0
.47956657,12.021313,0,0,0
-.13287354,8.4363317,0,0,0
.50151443,9.7591915,0,0,0
-.3076334,7.9859967,1,0,0
.22933674,8.3902597,1,0,0
-.49731159,8.7826996,1,0,0
.10112667,7.275979,1,0,0
.025240898,9.7428675,0,0,1
.37653923,7.4643049,0,1,0
.06843853,7.5890341,0,1,0
-.39963245,7.8276701,0,0,1
-.19371986,11.657926,0,0,1
.048570633,7.3658905,0,0,0
-.089568138,7.1345229,0,0,0
.13007545,8.1683187,0,0,0
-.026461601,9.3066177,0,0,0
-.051200867,7.8767161,0,0,0
.35808086,8.2821817,0,0,0
-.303895,8.3872862,0,0,0
.22389221,8.8614655,0,0,0
.19660091,9.5689144,1,0,0
.015153885,9.6299973,1,0,0
.057460785,9.2420921,1,0,0
-.30564404,6.939507,0,0,1
-.13638687,8.4165554,0,0,1
-.38078976,7.5443478,0,1,0
-.059104919,7.4643049,1,0,0
.29260349,6.9253087,0,1,0
.57794666,7.9203238,0,1,0
-.23977852,10.584766,0,1,0
-.48548412,9.3722916,0,1,0
.30314159,9.7120152,0,0,1
.0031461716,9.2935257,0,0,1
-1.1101332,8.5489445,0,0,1
-.099995613,8.613471,1,0,0
-.53169632,7.8276701,1,0,0
.38304615,8.8614655,0,1,0
-.065776825,9.9996967,0,1,0
-.082605362,7.5890341,1,0,0
.76515293,8.3872862,1,0,0
-.73680973,7.9859967,1,0,0
